"nacionality","sex","age","sport","medal"
"ESP","F",35,"athletics","F"
"CAN","F",32,"football","T"
"COL","F",27,"football","F"
"COL","F",32,"aquatics","F"
"PUR","F",23,"volleyball","F"
"GER","F",26,"athletics","F"
"USA","F",34,"basketball","T"
"BDI","F",32,"athletics","F"
"CUB","F",28,"shooting","F"
"KAZ","M",19,"judo","F"
"BEN","M",21,"athletics","F"
"NED","M",28,"equestrian","F"
"ESP","M",23,"sailing","F"
"COL","M",43,"athletics","F"
"BRA","M",30,"gymnastics","T"
"DOM","M",31,"cycling","F"
"ITA","M",35,"fencing","F"
"COL","M",23,"athletics","F"
"ITA","M",27,"cycling","F"
"MEX","M",22,"athletics","F"
"CGO","M",20,"aquatics","F"
"BEL","M",25,"aquatics","F"
"CMR","M",18,"boxing","F"
"TUR","F",22,"judo","F"
"TUR","F",21,"sailing","F"
"ITA","F",20,"aquatics","F"
"TJK","M",34,"athletics","T"
"UZB","M",25,"wrestling","F"
"BUL","M",36,"wrestling","F"
"BUL","M",22,"modern pentathlon","F"
"FRA","M",29,"athletics","T"
"NED","M",20,"athletics","F"
"MDA","F",22,"athletics","F"
"GER","M",28,"table tennis","T"
"SRB","M",32,"shooting","F"
"GRE","M",24,"cycling","F"
"CYP","M",28,"athletics","F"
"GRE","M",19,"aquatics","F"
"GRE","M",25,"aquatics","F"
"UKR","M",33,"wrestling","F"
"RUS","M",21,"volleyball","F"
"GBR","F",21,"athletics","T"
"RSA","F",33,"athletics","F"
"EGY","F",22,"table tennis","F"
"CHN","M",24,"athletics","F"
"SEN","F",32,"basketball","F"
"POR","M",23,"gymnastics","F"
"POR","M",28,"aquatics","F"
"BRA","M",33,"handball","F"
"BRA","M",34,"triathlon","F"
"NED","M",23,"aquatics","F"
"FSM","M",24,"aquatics","F"
"GRE","M",24,"rowing","F"
"IND","F",23,"gymnastics","F"
"NED","M",26,"rowing","T"
"BEL","M",32,"judo","T"
"PLW","F",19,"aquatics","F"
"CGO","M",21,"boxing","F"
"UZB","M",23,"judo","T"
"MLI","F",27,"athletics","F"
"RUS","M",36,"volleyball","F"
"RUS","M",28,"gymnastics","F"
"CZE","M",36,"table tennis","F"
"KAZ","M",21,"aquatics","T"
"KAZ","M",24,"athletics","F"
"UZB","M",24,"taekwondo","F"
"ISR","M",23,"athletics","F"
"RUS","M",31,"canoe","F"
"RUS","M",30,"triathlon","F"
"RUS","M",27,"fencing","F"
"UKR","M",26,"weightlifting","F"
"UKR","M",24,"canoe","T"
"UKR","M",36,"fencing","F"
"UKR","M",27,"athletics","F"
"UKR","M",26,"rowing","F"
"UKR","M",27,"boxing","F"
"UKR","M",22,"aquatics","F"
"UKR","M",24,"athletics","F"
"EGY","F",20,"volleyball","F"
"MEX","F",19,"aquatics","F"
"URU","F",17,"sailing","F"
"CRO","M",28,"handball","F"
"LTU","M",20,"basketball","F"
"GER","M",22,"cycling","F"
"ITA","M",30,"rowing","T"
"SEY","M",31,"judo","F"
"GBR","M",30,"tennis","F"
"GBR","M",33,"athletics","F"
"AUT","M",26,"athletics","F"
"HUN","M",25,"aquatics","F"
"CAN","F",25,"aquatics","F"
"RSA","F",24,"athletics","F"
"LTU","M",23,"rowing","F"
"AUS","M",22,"aquatics","F"
"ISR","M",29,"athletics","F"
"USA","M",27,"athletics","F"
"BAH","M",32,"athletics","F"
"RUS","F",28,"modern pentathlon","F"
"LTU","F",27,"rowing","T"
"CHN","M",27,"gymnastics","T"
"KOR","M",26,"badminton","F"
"KOR","M",24,"judo","T"
"KOR","M",27,"gymnastics","F"
"KOR","M",29,"cycling","F"
"KOR","M",22,"football","F"
"KOR","M",23,"weightlifting","F"
"KOR","M",22,"football","F"
"CHN","F",25,"aquatics","F"
"KOR","M",30,"taekwondo","T"
"CHN","F",28,"football","F"
"KOR","M",27,"equestrian","F"
"CHN","F",29,"hockey","F"
"CHN","F",23,"cycling","F"
"KOR","M",26,"rowing","F"
"HON","M",35,"football","F"
"CAN","F",37,"modern pentathlon","F"
"HUN","F",23,"aquatics","F"
"HUN","F",27,"aquatics","F"
"HUN","F",24,"aquatics","F"
"GHA","F",24,"athletics","F"
"NGR","F",28,"athletics","F"
"KEN","F",34,"rugby sevens","F"
"FRA","M",22,"triathlon","F"
"DOM","F",20,"aquatics","F"
"FRA","M",33,"rowing","F"
"NED","M",28,"sailing","T"
"COL","F",30,"taekwondo","F"
"COL","M",28,"football","F"
"GER","F",32,"aquatics","F"
"GER","F",47,"equestrian","T"
"CAN","F",23,"wrestling","F"
"UZB","M",21,"weightlifting","F"
"KAZ","M",27,"wrestling","F"
"BRA","M",21,"volleyball","T"
"RSA","M",26,"aquatics","F"
"BRA","M",22,"football","T"
"LTU","M",20,"rowing","F"
"SRB","F",21,"basketball","T"
"SRB","F",34,"athletics","F"
"MNE","M",32,"aquatics","F"
"USA","M",26,"basketball","T"
"MAR","M",19,"aquatics","F"
"MKD","F",20,"athletics","F"
"CHN","M",26,"judo","F"
"ESP","F",28,"aquatics","F"
"ISR","M",31,"tennis","F"
"MGL","M",30,"aquatics","F"
"ROU","M",27,"weightlifting","F"
"GBR","M",19,"aquatics","T"
"CHN","F",18,"aquatics","F"
"CHN","F",19,"aquatics","F"
"CHN","M",22,"athletics","F"
"MNE","F",19,"handball","F"
"SVK","M",29,"athletics","F"
"SRB","M",22,"aquatics","T"
"SRB","M",31,"aquatics","T"
"GER","M",32,"tennis","F"
"BAH","M",20,"aquatics","F"
"IND","F",20,"athletics","F"
"TUR","F",20,"weightlifting","F"
"VEN","M",29,"basketball","F"
"BEL","M",24,"athletics","F"
"RSA","M",23,"aquatics","F"
"TTO","M",20,"aquatics","F"
"GBR","M",28,"sailing","F"
"NZL","M",22,"cycling","F"
"RSA","M",24,"rugby sevens","T"
"NZL","M",19,"gymnastics","F"
"BLR","M",31,"rowing","F"
"BLR","M",29,"athletics","F"
"BLR","M",20,"boxing","F"
"BLR","M",20,"athletics","F"
"BLR","M",28,"athletics","F"
"BLR","M",28,"judo","F"
"GER","F",24,"football","T"
"FRA","M",25,"volleyball","F"
"NGR","M",35,"basketball","F"
"EGY","F",20,"cycling","F"
"CAN","F",23,"judo","F"
"AUS","M",30,"rugby sevens","F"
"ISV","M",24,"athletics","F"
"SUI","M",22,"gymnastics","F"
"CUB","M",18,"athletics","F"
"BRA","M",30,"athletics","F"
"BRA","M",33,"volleyball","T"
"VEN","M",24,"taekwondo","F"
"PAN","M",27,"aquatics","F"
"POR","M",22,"football","F"
"GUA","M",19,"weightlifting","F"
"VEN","M",33,"boxing","F"
"MEX","M",25,"athletics","F"
"LTU","M",31,"wrestling","F"
"BRN","F",19,"athletics","F"
"DEN","M",28,"football","F"
"HUN","F",26,"aquatics","F"
"HUN","F",39,"fencing","F"
"MEX","F",25,"judo","F"
"BRA","F",24,"rugby sevens","F"
"HAI","M",27,"weightlifting","F"
"BRA","M",34,"canoe","F"
"GER","M",25,"wrestling","F"
"BRA","M",26,"wrestling","F"
"BRA","F",30,"handball","F"
"ESP","M",32,"equestrian","F"
"DOM","M",50,"shooting","F"
"BRA","M",36,"equestrian","F"
"CUB","M",30,"rowing","F"
"ARG","M",25,"cycling","F"
"ESP","M",23,"aquatics","F"
"NOR","M",29,"cycling","F"
"LTU","M",31,"canoe","T"
"CHI","M",30,"athletics","F"
"GBR","M",31,"cycling","T"
"NZL","M",27,"cycling","T"
"NED","M",46,"equestrian","F"
"USA","M",27,"rowing","F"
"GBR","M",33,"shooting","T"
"AUS","M",29,"hockey","F"
"ITA","F",26,"judo","F"
"COL","M",31,"weightlifting","F"
"AUS","F",28,"hockey","F"
"AUS","F",42,"equestrian","F"
"POL","F",30,"canoe","F"
"POL","F",30,"cycling","F"
"LAT","M",28,"cycling","F"
"NED","F",27,"badminton","F"
"NED","M",29,"athletics","F"
"KOR","F",22,"hockey","F"
"NGR","M",22,"boxing","F"
"GRE","M",31,"shooting","F"
"LTU","F",28,"athletics","F"
"CUB","F",36,"shooting","F"
"RUS","M",21,"volleyball","F"
"IRI","M",31,"athletics","F"
"IRI","M",28,"boxing","F"
"MYA","F",24,"aquatics","F"
"COL","M",23,"athletics","F"
"GER","M",34,"athletics","F"
"JPN","M",24,"athletics","F"
"PAN","F",30,"fencing","F"
"GBR","F",29,"athletics","T"
"GBR","F",26,"athletics","F"
"LTU","M",22,"boxing","F"
"AUT","F",19,"aquatics","F"
"JPN","M",33,"shooting","F"
"NGR","M",20,"athletics","F"
"RUS","F",29,"volleyball","F"
"RUS","F",29,"wrestling","T"
"RUS","F",29,"fencing","T"
"RUS","F",25,"handball","T"
"TUR","F",25,"aquatics","F"
"BLR","F",44,"rowing","F"
"UZB","F",34,"gymnastics","F"
"RUS","F",28,"shooting","F"
"RUS","F",26,"volleyball","F"
"ISR","F",19,"gymnastics","F"
"RUS","F",27,"aquatics","T"
"RUS","F",28,"tennis","T"
"RUS","F",34,"handball","T"
"RUS","F",20,"aquatics","F"
"BLR","F",29,"athletics","F"
"RUS","F",25,"aquatics","T"
"RUS","F",23,"shooting","F"
"UZB","F",28,"athletics","F"
"RUS","F",25,"judo","F"
"FIN","F",19,"gymnastics","F"
"UZB","F",24,"athletics","F"
"GRE","F",26,"athletics","T"
"NGR","M",31,"basketball","F"
"INA","M",27,"weightlifting","T"
"ALG","M",26,"athletics","F"
"BRN","M",32,"athletics","F"
"MAR","M",26,"wrestling","F"
"IRI","F",34,"shooting","F"
"JAM","F",24,"athletics","T"
"QAT","M",24,"handball","F"
"HON","M",21,"football","F"
"IVB","M",22,"athletics","F"
"FRA","F",26,"athletics","F"
"MLT","F",39,"shooting","F"
"CAN","F",21,"fencing","F"
"USA","F",29,"rowing","T"
"AUS","F",20,"athletics","F"
"GBR","F",27,"hockey","F"
"GRE","M",26,"gymnastics","T"
"GBR","F",44,"shooting","F"
"RUS","F",23,"canoe","F"
"ITA","F",24,"sailing","F"
"ITA","F",24,"cycling","F"
"USA","F",27,"basketball","T"
"RUS","F",39,"volleyball","F"
"AUS","F",27,"shooting","F"
"ESP","F",22,"gymnastics","T"
"ITA","F",28,"athletics","F"
"ROU","F",21,"athletics","F"
"KAZ","F",23,"modern pentathlon","F"
"RUS","F",22,"aquatics","T"
"USA","F",30,"wrestling","F"
"RUS","F",30,"tennis","T"
"GER","F",16,"aquatics","F"
"ROU","F",23,"rowing","F"
"CYP","F",30,"athletics","F"
"GRE","F",21,"gymnastics","F"
"ITA","F",27,"athletics","F"
"ITA","F",37,"volleyball","F"
"USA","M",21,"fencing","F"
"ITA","M",27,"cycling","T"
"BRA","F",30,"athletics","F"
"MAD","F",34,"athletics","F"
"MEX","M",25,"boxing","F"
"VEN","M",27,"archery","F"
"FRA","M",24,"boxing","F"
"COL","F",29,"athletics","F"
"TUR","F",30,"wrestling","F"
"KEN","M",23,"athletics","F"
"SWE","F",26,"taekwondo","F"
"SWE","F",23,"football","T"
"KAZ","F",22,"athletics","F"
"UKR","F",22,"tennis","F"
"IVB","F",16,"aquatics","F"
"GBR","F",22,"cycling","T"
"ITA","M",20,"judo","F"
"BUL","M",33,"wrestling","F"
"NED","F",22,"cycling","T"
"ITA","F",29,"aquatics","F"
"ITA","F",25,"cycling","T"
"ITA","F",19,"gymnastics","F"
"ITA","F",25,"aquatics","T"
"ITA","F",36,"athletics","F"
"MAD","F",24,"weightlifting","F"
"ITA","F",34,"fencing","T"
"ESP","F",28,"rugby sevens","F"
"AUT","F",26,"badminton","F"
"CAF","F",27,"athletics","F"
"GER","F",23,"gymnastics","F"
"GRE","F",24,"athletics","F"
"CUB","F",19,"aquatics","F"
"FRA","F",31,"football","F"
"AUS","F",26,"football","F"
"CZE","F",28,"athletics","F"
"GBR","F",17,"gymnastics","F"
"BUL","F",22,"wrestling","T"
"KEN","M",32,"athletics","T"
"ROU","F",23,"handball","F"
"NZL","F",20,"athletics","T"
"ESP","F",26,"handball","F"
"ROU","F",27,"table tennis","F"
"GBR","F",28,"cycling","F"
"USA","F",24,"aquatics","F"
"ECU","F",29,"triathlon","F"
"AUS","F",25,"basketball","F"
"NZL","F",19,"aquatics","F"
"CAN","F",28,"athletics","F"
"NZL","F",27,"hockey","F"
"NZL","F",22,"hockey","F"
"USA","F",53,"equestrian","T"
"ESP","F",35,"handball","F"
"NZL","F",22,"hockey","F"
"SIN","F",25,"sailing","F"
"GEO","M",27,"wrestling","F"
"ARG","F",21,"handball","F"
"BEL","F",25,"cycling","F"
"AUS","F",22,"athletics","F"
"COK","F",26,"canoe","F"
"NED","F",27,"rowing","F"
"NED","F",30,"hockey","T"
"SUI","F",30,"athletics","F"
"USA","F",32,"rowing","F"
"NED","F",29,"cycling","F"
"AUS","F",23,"rugby sevens","T"
"AUS","F",16,"football","F"
"GBR","F",23,"aquatics","F"
"GBR","M",22,"athletics","F"
"BEL","M",28,"hockey","T"
"IRL","F",18,"gymnastics","F"
"AZE","M",26,"judo","T"
"KAZ","F",24,"wrestling","T"
"FIN","M",24,"equestrian","F"
"UZB","M",25,"wrestling","T"
"FRA","F",27,"modern pentathlon","T"
"FRA","F",26,"rugby sevens","F"
"FRA","F",21,"rowing","F"
"FRA","F",30,"football","F"
"RWA","M",21,"aquatics","F"
"AUS","F",34,"athletics","F"
"RSA","M",30,"athletics","F"
"BEL","F",33,"athletics","F"
"ESP","F",29,"volleyball","F"
"CAN","F",21,"gymnastics","F"
"UZB","M",30,"boxing","F"
"BDI","F",28,"aquatics","F"
"NRU","M",22,"weightlifting","F"
"AZE","M",25,"boxing","F"
"AZE","M",28,"wrestling","F"
"RUS","F",22,"aquatics","T"
"VEN","F",19,"judo","F"
"CPV","F",18,"gymnastics","F"
"MNE","F",20,"handball","F"
"VEN","M",20,"equestrian","F"
"GER","M",24,"cycling","F"
"POR","M",31,"canoe","F"
"ITA","M",35,"volleyball","T"
"ITA","M",30,"equestrian","F"
"ITA","M",26,"rowing","F"
"BRA","F",20,"gymnastics","F"
"TUR","F",20,"athletics","F"
"CMR","F",19,"volleyball","F"
"SWE","F",23,"football","F"
"TOG","M",17,"aquatics","F"
"BRA","M",45,"shooting","F"
"HUN","F",34,"fencing","T"
"JPN","F",23,"hockey","F"
"DEN","M",25,"football","F"
"USA","M",48,"shooting","F"
"ARG","F",29,"volleyball","F"
"AUS","F",24,"rugby sevens","T"
"ROU","F",23,"wrestling","F"
"POL","F",26,"athletics","F"
"SWE","F",26,"football","T"
"SWE","F",28,"cycling","F"
"FIN","F",24,"aquatics","F"
"ARG","M",24,"golf","F"
"URU","M",26,"athletics","F"
"FRA","F",29,"judo","T"
"CAN","F",30,"canoe","F"
"NOR","F",22,"handball","T"
"FRA","F",25,"athletics","F"
"CAN","F",28,"cycling","F"
"GBR","F",25,"athletics","T"
"AUS","F",24,"football","F"
"USA","F",26,"athletics","F"
"BAH","F",23,"rowing","F"
"CAN","F",19,"aquatics","T"
"USA","F",28,"rowing","T"
"AUS","F",18,"aquatics","F"
"GBR","F",26,"rugby sevens","F"
"GBR","F",24,"rugby sevens","F"
"AUS","F",24,"aquatics","T"
"AUS","F",24,"hockey","F"
"USA","F",23,"football","F"
"AUS","F",23,"football","F"
"SWE","F",28,"football","T"
"USA","F",26,"athletics","T"
"NZL","F",21,"rowing","F"
"GER","F",19,"cycling","F"
"SWE","F",33,"cycling","T"
"DEN","F",20,"canoe","T"
"SWE","F",18,"gymnastics","F"
"AUS","F",22,"aquatics","T"
"AUS","F",32,"triathlon","F"
"GBR","F",34,"cycling","F"
"NZL","F",22,"aquatics","F"
"AUS","F",21,"rugby sevens","T"
"NZL","F",29,"rowing","F"
"ZIM","F",24,"football","F"
"GRE","M",31,"aquatics","F"
"TTO","M",32,"athletics","F"
"NGR","M",23,"football","T"
"GHA","M",21,"athletics","F"
"FRA","M",28,"table tennis","F"
"ARG","M",32,"judo","F"
"LBR","M",25,"athletics","F"
"BEL","M",23,"hockey","T"
"BEL","M",24,"aquatics","F"
"ARG","M",30,"modern pentathlon","F"
"TUR","M",28,"athletics","F"
"EGY","F",27,"wrestling","F"
"VEN","M",25,"boxing","F"
"FRA","F",28,"basketball","F"
"USA","F",24,"athletics","T"
"USA","F",47,"shooting","F"
"MGL","M",24,"boxing","F"
"ITA","M",21,"rowing","F"
"ITA","M",27,"fencing","T"
"NED","M",23,"boxing","F"
"GUA","M",38,"shooting","F"
"ESA","M",24,"sailing","F"
"FRA","M",23,"aquatics","F"
"FRA","M",25,"fencing","T"
"CHI","M",31,"athletics","F"
"AUS","M",24,"judo","F"
"NED","M",30,"gymnastics","F"
"EST","F",24,"wrestling","F"
"TUR","M",28,"athletics","F"
"TUR","M",23,"shooting","F"
"JPN","F",22,"tennis","F"
"JPN","F",23,"wrestling","T"
"JPN","F",25,"cycling","F"
"PUR","M",30,"athletics","F"
"PHI","M",28,"athletics","F"
"FRA","M",29,"shooting","F"
"CAN","M",36,"athletics","F"
"GER","M",28,"rowing","T"
"CAN","M",48,"equestrian","T"
"NZL","M",34,"rowing","T"
"GER","M",21,"football","T"
"CAN","M",27,"rowing","F"
"CAN","F",27,"wrestling","T"
"BRA","F",31,"athletics","F"
"MEX","M",19,"football","F"
"GUA","M",25,"athletics","F"
"MEX","M",21,"football","F"
"NCA","M",26,"athletics","F"
"MEX","M",23,"football","F"
"GER","M",27,"sailing","T"
"USA","M",25,"athletics","F"
"SWE","M",22,"aquatics","F"
"GER","M",29,"boxing","F"
"USA","M",27,"volleyball","T"
"NOR","M",36,"athletics","F"
"SVK","M",40,"shooting","F"
"SVK","M",35,"canoe","T"
"BRA","F",28,"football","F"
"COL","F",38,"athletics","F"
"JPN","F",32,"volleyball","F"
"ITA","F",20,"gymnastics","F"
"ITA","F",30,"aquatics","F"
"SWE","F",28,"athletics","F"
"EST","F",24,"fencing","F"
"BRA","F",29,"judo","F"
"CHI","F",40,"athletics","F"
"CAN","F",21,"aquatics","F"
"BRA","F",34,"basketball","F"
"ESP","F",32,"aquatics","F"
"AUS","F",31,"triathlon","F"
"NZL","F",24,"football","F"
"AUS","F",31,"basketball","F"
"CAN","F",28,"sailing","F"
"CAN","F",22,"athletics","F"
"ZIM","F",26,"football","F"
"CUB","M",26,"boxing","T"
"KGZ","M",25,"boxing","F"
"BRA","M",25,"canoe","T"
"URU","M",33,"athletics","F"
"MEX","M",23,"archery","F"
"CUB","M",24,"athletics","F"
"BRA","M",31,"hockey","F"
"TUR","M",31,"athletics","F"
"FRA","M",34,"fencing","T"
"VEN","M",35,"wrestling","F"
"VEN","M",33,"aquatics","F"
"NGR","F",20,"athletics","F"
"ITA","M",22,"athletics","F"
"EGY","M",28,"handball","F"
"TUR","F",24,"athletics","F"
"NED","F",20,"aquatics","F"
"NOR","M",29,"golf","F"
"TUR","F",25,"basketball","F"
"EGY","F",18,"weightlifting","F"
"TUR","M",34,"athletics","F"
"NED","F",24,"handball","F"
"ECU","M",26,"aquatics","F"
"CHI","M",25,"volleyball","F"
"COL","F",22,"aquatics","F"
"ECU","F",28,"judo","F"
"COL","F",25,"rugby sevens","F"
"ESP","F",27,"athletics","F"
"ESP","F",35,"athletics","F"
"MAD","F",22,"aquatics","F"
"FRA","F",24,"boxing","T"
"FRA","F",25,"handball","T"
"AND","F",36,"shooting","F"
"ESP","F",26,"athletics","F"
"AUS","F",25,"aquatics","F"
"GEO","F",29,"judo","F"
"ARG","F",27,"aquatics","F"
"ETH","F",25,"athletics","F"
"NZL","M",25,"cycling","T"
"BRA","F",25,"aquatics","F"
"FRA","M",28,"canoe","F"
"TUV","M",25,"athletics","F"
"IRL","M",30,"hockey","F"
"CAN","M",31,"table tennis","F"
"CAN","F",22,"tennis","F"
"FRA","F",27,"football","F"
"SMR","M",24,"athletics","F"
"KOR","F",26,"handball","F"
"KOR","F",17,"gymnastics","F"
"KOR","F",24,"hockey","F"
"KOR","F",26,"handball","F"
"KOR","F",29,"shooting","F"
"ZIM","F",23,"football","F"
"BRN","F",32,"athletics","T"
"KEN","F",28,"athletics","F"
"KOR","F",30,"fencing","F"
"MEX","F",22,"weightlifting","F"
"ESP","F",25,"taekwondo","T"
"HUN","F",30,"judo","F"
"NED","F",20,"athletics","F"
"ITA","F",31,"cycling","F"
"USA","F",30,"badminton","F"
"SVK","F",37,"table tennis","F"
"HUN","F",31,"aquatics","F"
"GER","F",32,"shooting","F"
"CZE","F",30,"athletics","F"
"NED","F",27,"hockey","T"
"ALB","F",25,"weightlifting","F"
"LTU","M",24,"boxing","F"
"CAN","M",26,"athletics","F"
"USA","M",27,"athletics","T"
"CAN","M",23,"aquatics","F"
"BRA","M",26,"volleyball","F"
"BRA","M",35,"volleyball","T"
"GRE","F",21,"aquatics","F"
"GRE","F",22,"aquatics","F"
"GRE","F",42,"archery","F"
"GRE","M",31,"aquatics","F"
"AUS","F",21,"rugby sevens","T"
"AZE","M",28,"athletics","F"
"NZL","F",24,"rowing","F"
"SAM","F",18,"aquatics","F"
"COL","F",23,"athletics","F"
"CUB","F",21,"athletics","F"
"COL","F",19,"athletics","F"
"USA","F",33,"cycling","F"
"HUN","F",27,"aquatics","F"
"SUI","F",25,"judo","F"
"MEX","M",24,"athletics","F"
"RUS","F",27,"volleyball","F"
"RUS","M",33,"aquatics","F"
"RUS","M",26,"aquatics","F"
"RUS","M",25,"canoe","F"
"RUS","F",28,"aquatics","T"
"RUS","F",29,"aquatics","T"
"RUS","F",31,"equestrian","F"
"RUS","M",26,"tennis","F"
"RUS","M",28,"cycling","F"
"RUS","M",23,"aquatics","F"
"RUS","M",20,"aquatics","T"
"RUS","M",25,"boxing","T"
"MDA","M",26,"wrestling","F"
"BEL","F",31,"sailing","F"
"SUR","F",21,"aquatics","F"
"POL","F",19,"athletics","F"
"POL","F",29,"athletics","F"
"POL","F",30,"canoe","F"
"ISR","M",30,"sailing","F"
"ISL","F",21,"aquatics","F"
"NED","F",18,"gymnastics","F"
"KEN","M",34,"athletics","F"
"ARG","M",24,"volleyball","F"
"ARG","M",21,"football","F"
"NOR","F",28,"athletics","F"
"CHN","M",30,"triathlon","F"
"SUI","M",35,"cycling","T"
"POL","M",26,"volleyball","F"
"NED","M",33,"athletics","F"
"ARG","M",38,"golf","F"
"GER","M",29,"gymnastics","T"
"GER","M",22,"athletics","F"
"COL","M",25,"cycling","F"
"SUI","M",31,"fencing","F"
"GER","M",22,"handball","T"
"BRA","F",27,"football","F"
"BRA","F",31,"volleyball","F"
"BRA","F",35,"handball","F"
"BRA","F",30,"athletics","F"
"BRA","F",35,"athletics","F"
"TAN","M",31,"athletics","F"
"FRA","M",32,"aquatics","T"
"SUI","F",30,"golf","F"
"GER","F",27,"athletics","F"
"SUI","F",26,"athletics","F"
"MRI","F",28,"triathlon","F"
"ITA","M",26,"cycling","F"
"ITA","M",22,"judo","T"
"BRA","M",27,"handball","F"
"ITA","M",29,"tennis","F"
"ITA","M",28,"rowing","F"
"SUI","M",27,"canoe","F"
"TOG","M",24,"athletics","F"
"AUS","M",33,"athletics","F"
"BUR","M",23,"athletics","F"
"ITA","M",40,"athletics","F"
"PAR","M",33,"golf","F"
"ARG","M",31,"hockey","T"
"ARG","M",25,"basketball","F"
"ARG","M",27,"volleyball","F"
"ARG","M",22,"sailing","F"
"MAR","F",22,"athletics","F"
"IRQ","M",22,"football","F"
"ALG","M",24,"boxing","F"
"TUN","M",28,"judo","F"
"KEN","F",22,"athletics","T"
"QAT","M",30,"equestrian","F"
"CHN","F",22,"volleyball","F"
"CHN","F",33,"shooting","F"
"CHN","F",22,"volleyball","T"
"FRA","F",22,"aquatics","F"
"FRA","F",30,"rugby sevens","F"
"BEL","F",24,"aquatics","F"
"FRA","F",22,"aquatics","F"
"ALG","F",17,"gymnastics","F"
"CAN","F",26,"athletics","F"
"TUN","M",19,"fencing","F"
"QAT","M",18,"weightlifting","F"
"IRI","M",27,"volleyball","F"
"BRN","M",20,"aquatics","F"
"ALG","M",22,"football","F"
"AZE","F",21,"taekwondo","F"
"EGY","F",21,"aquatics","F"
"KAZ","M",25,"weightlifting","T"
"IRI","M",20,"taekwondo","F"
"MAS","F",27,"cycling","F"
"BRN","F",17,"aquatics","F"
"AZE","F",14,"aquatics","F"
"ESP","F",19,"aquatics","F"
"ESP","F",29,"shooting","F"
"EGY","F",19,"athletics","F"
"SEN","F",33,"basketball","F"
"MLI","F",29,"aquatics","F"
"IOA","F",22,"aquatics","F"
"GAM","M",23,"judo","F"
"UZB","M",25,"boxing","T"
"ITA","F",28,"aquatics","F"
"ITA","F",28,"aquatics","T"
"ITA","M",30,"aquatics","F"
"ARG","M",23,"athletics","F"
"ARG","M",26,"tennis","F"
"ARG","M",27,"handball","F"
"ARG","M",28,"shooting","F"
"ARG","M",26,"aquatics","F"
"ARG","M",30,"handball","F"
"ITA","M",29,"aquatics","F"
"ITA","M",25,"aquatics","F"
"ARG","M",28,"handball","F"
"RUS","M",32,"shooting","F"
"JAM","M",22,"athletics","F"
"IOA","M",50,"shooting","T"
"CHN","M",24,"wrestling","F"
"CHN","F",27,"rowing","T"
"CHN","M",23,"aquatics","F"
"TTO","F",39,"rowing","F"
"USA","F",27,"rowing","F"
"BRA","M",26,"equestrian","F"
"COL","M",23,"football","F"
"CHI","M",42,"golf","F"
"BRA","M",24,"shooting","T"
"BRA","M",23,"football","T"
"BRA","M",22,"canoe","F"
"CHI","M",25,"rowing","F"
"BRA","M",19,"football","F"
"BRA","M",30,"rugby sevens","F"
"BRA","M",29,"aquatics","F"
"BRA","M",27,"judo","F"
"BRA","M",23,"modern pentathlon","F"
"BRA","M",30,"aquatics","F"
"ESP","M",36,"basketball","T"
"BRA","M",22,"rugby sevens","F"
"CHI","M",21,"aquatics","F"
"BRA","M",32,"aquatics","F"
"USA","F",27,"athletics","F"
"ZIM","F",30,"football","F"
"AUT","M",20,"aquatics","F"
"BEL","M",26,"hockey","T"
"GER","M",27,"rowing","T"
"SUI","M",26,"equestrian","F"
"GER","M",26,"rowing","F"
"QAT","M",25,"athletics","F"
"NED","F",29,"aquatics","F"
"NED","F",22,"athletics","F"
"NED","F",25,"volleyball","F"
"SWE","F",40,"table tennis","F"
"SIN","M",22,"table tennis","F"
"CHN","F",23,"wrestling","F"
"CHN","M",21,"boxing","F"
"CHN","F",27,"wrestling","T"
"CHN","F",27,"football","F"
"GER","M",28,"sailing","F"
"AUS","M",37,"canoe","F"
"UKR","M",33,"equestrian","F"
"AUS","M",31,"hockey","F"
"KEN","M",27,"athletics","F"
"TUR","M",23,"gymnastics","F"
"BRA","F",29,"sailing","F"
"BRA","F",31,"rowing","F"
"BRA","F",27,"handball","F"
"BRA","F",28,"athletics","F"
"BRA","F",36,"sailing","F"
"BRA","F",30,"volleyball","F"
"ARG","F",17,"shooting","F"
"POR","M",19,"football","F"
"ESP","M",25,"triathlon","F"
"ARG","M",36,"shooting","F"
"ESP","M",24,"athletics","F"
"ARG","M",25,"boxing","F"
"CUB","M",18,"canoe","F"
"ESP","M",44,"sailing","F"
"ARG","M",35,"handball","F"
"COL","M",22,"cycling","F"
"ARG","M",26,"rugby sevens","F"
"POR","M",27,"canoe","F"
"BRA","M",38,"football","F"
"ECU","M",28,"weightlifting","F"
"BRA","M",26,"weightlifting","F"
"BRA","M",32,"fencing","F"
"NED","M",24,"aquatics","T"
"ETH","M",26,"athletics","T"
"CUB","M",24,"canoe","F"
"DEN","F",31,"rowing","F"
"CZE","M",28,"canoe","F"
"SRB","M",29,"aquatics","T"
"CRO","M",27,"taekwondo","F"
"CRO","M",24,"boxing","T"
"NOR","M",23,"athletics","F"
"MNE","M",27,"aquatics","F"
"CRO","M",27,"basketball","F"
"CRO","M",22,"athletics","F"
"CZE","M",17,"shooting","F"
"CZE","M",33,"canoe","F"
"CRO","M",30,"gymnastics","F"
"POL","M",25,"aquatics","F"
"POL","M",22,"aquatics","F"
